"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.498056300E-1,-2.601898670E0,5.194220543E0,8.847772598E0
3.518075050E-1,-2.640205860E0,5.242104530E0,8.871714592E0
3.538093800E-1,-2.664147854E0,5.304353714E0,8.910021782E0
3.558112550E-1,-2.640205860E0,5.390544891E0,8.967482567E0
3.578131300E-1,-2.640205860E0,5.486313343E0,9.005789757E0
3.598150050E-1,-2.649782658E0,5.625176907E0,9.077615738E0
3.618168800E-1,-2.644994259E0,5.735310078E0,9.106346130E0
3.638187550E-1,-2.616263866E0,5.859808445E0,9.120711327E0
3.658206300E-1,-2.582745075E0,5.950788498E0,9.139864922E0
3.678225050E-1,-2.563591480E0,6.036979675E0,9.135076523E0
3.698243800E-1,-2.510919094E0,6.104017258E0,9.135076523E0
3.718262550E-1,-2.429516077E0,6.142324448E0,9.139864922E0
3.738281300E-1,-2.343324900E0,6.151901245E0,9.106346130E0
3.758300050E-1,-2.242768526E0,6.142324448E0,9.082404137E0
3.778318800E-1,-2.166153908E0,6.123170853E0,9.024943352E0
3.798337550E-1,-2.056020737E0,6.070498466E0,8.967482567E0
3.818356300E-1,-1.974617839E0,6.032191277E0,8.910021782E0
3.838375050E-1,-1.850119352E0,5.993884087E0,8.876502991E0
3.858393800E-1,-1.768716455E0,5.926846504E0,8.780735016E0
3.878412550E-1,-1.653794765E0,5.888539314E0,8.708909035E0
3.898431300E-1,-1.553238392E0,5.845443249E0,8.656236649E0
3.918450050E-1,-1.438316703E0,5.802347660E0,8.584410667E0
3.938468800E-1,-1.323395014E0,5.759252071E0,8.503006935E0
3.958487550E-1,-1.246780515E0,5.735310078E0,8.431180954E0
3.978506300E-1,-1.122282028E0,5.706579685E0,8.388085365E0
3.998525050E-1,-1.045667648E0,5.653907299E0,8.316259384E0
4.018543800E-1,-9.498994946E-1,5.615600109E0,8.196549416E0
4.038562550E-1,-8.445546627E-1,5.586869717E0,8.124723434E0
4.058581300E-1,-7.775170207E-1,5.524620533E0,8.009801865E0
4.078600050E-1,-6.817489266E-1,5.491101742E0,7.909245491E0
4.098618800E-1,-6.051344872E-1,5.457582951E0,7.827842236E0
4.118637550E-1,-5.716156363E-1,5.424064159E0,7.756016254E0
4.138656300E-1,-5.285200477E-1,5.366602898E0,7.698555470E0
4.158675050E-1,-5.428852439E-1,5.328295708E0,7.645883083E0
4.178693800E-1,-5.572504401E-1,5.251681328E0,7.621941090E0
4.198712550E-1,-6.338648796E-1,5.184643745E0,7.597999096E0
4.218731300E-1,-7.248445749E-1,5.098452568E0,7.578845501E0
4.238750050E-1,-8.397662640E-1,5.069722176E0,7.540538311E0
4.258768800E-1,-9.786299467E-1,5.026626587E0,7.492654324E0
4.278787550E-1,-1.093551636E0,5.007472992E0,7.492654324E0
4.298806300E-1,-1.241992116E0,4.969165802E0,7.449558735E0
4.318825050E-1,-1.423951507E0,4.902127743E0,7.444770336E0
4.338843800E-1,-1.682525277E0,4.777629375E0,7.454347134E0
4.358862550E-1,-1.941099048E0,4.633977413E0,7.492654324E0
4.378881300E-1,-2.123058319E0,4.533421040E0,7.507019520E0
4.398900050E-1,-2.190095901E0,4.475960255E0,7.545326710E0
4.418918800E-1,-2.118269920E0,4.423287868E0,7.574057102E0
4.438937550E-1,-1.974617839E0,4.384980202E0,7.597999096E0
4.458956300E-1,-1.768716455E0,4.375403404E0,7.621941090E0
4.478975050E-1,-1.423951507E0,4.380191803E0,7.636306286E0
4.498993800E-1,-1.136647224E0,4.428076267E0,7.612364292E0
4.519012550E-1,-9.307458997E-1,4.490325451E0,7.621941090E0
4.539031300E-1,-6.386532784E-1,4.514267445E0,7.545326710E0
4.559050050E-1,-3.082534671E-1,4.633977413E0,7.507019520E0
4.579068800E-1,-2.220622003E-1,4.705803394E0,7.502231121E0
4.599087550E-1,-2.094926499E-2,4.820724964E0,7.425616741E0
4.619106300E-1,3.651157767E-2,4.950012207E0,7.406463146E0
4.639125050E-1,1.083376259E-1,5.074510574E0,7.406463146E0
4.659143800E-1,1.035492271E-1,5.285200119E0,7.435193539E0
4.679162550E-1,2.807201445E-1,5.419275761E0,7.435193539E0
4.699181300E-1,5.105634928E-1,5.610811710E0,7.530961514E0
4.719200050E-1,8.505401611E-1,5.764040470E0,7.578845501E0
4.739218800E-1,1.109113932E0,5.898116112E0,7.631517887E0
4.759237550E-1,1.118690729E0,6.017826080E0,7.717709064E0
4.779256300E-1,1.046864748E0,6.104017258E0,7.770381451E0
4.799275050E-1,1.037287831E0,6.123170853E0,7.732074261E0
4.819293800E-1,8.792705536E-1,6.089652061E0,7.674613476E0
4.839312550E-1,1.042076349E0,5.965153694E0,7.550115108E0
4.859331300E-1,1.578377485E0,5.687426090E0,7.459135532E0
4.879350050E-1,2.124255419E0,5.328295708E0,7.358579159E0
4.899368800E-1,1.405994892E0,4.926070213E0,7.483077526E0
4.919387550E-1,3.477577865E-1,4.231751442E0,7.626729488E0
4.939406300E-1,-5.189431906E-1,3.465606928E0,7.736862659E0
4.959425050E-1,-1.222838521E0,2.689885616E0,7.870938301E0
4.979443800E-1,-1.519719481E0,2.067393064E0,7.952341080E0
4.999462550E-1,-1.313818216E0,1.669955730E0,8.057685852E0
5.019481300E-1,-7.344213724E-1,1.574187636E0,8.268375397E0
5.039500050E-1,8.918401599E-2,1.875856996E0,8.507795334E0
5.059518800E-1,1.027711034E0,2.450465441E0,8.637083054E0
5.079537550E-1,1.947084546E0,3.130418777E0,8.684967041E0
5.099556300E-1,2.660556555E0,3.987542868E0,8.684967041E0
5.119575050E-1,2.899976730E0,4.945223808E0,8.570044518E0
5.139593800E-1,2.689286947E0,5.902904510E0,8.459911346E0
5.159612550E-1,2.344521999E0,6.817489147E0,8.412027359E0
5.179631300E-1,1.789067268E0,7.574057102E0,8.407238960E0
5.199650050E-1,1.257554412E0,8.163030624E0,8.373720169E0
5.219668800E-1,7.930793166E-1,8.541314125E0,8.493430138E0
5.239687550E-1,3.812766075E-1,8.737639427E0,8.804677010E0
5.259706300E-1,1.418564469E-1,8.771158218E0,9.115922928E0
5.279725050E-1,2.693476900E-2,8.814253807E0,9.154230118E0
5.299743800E-1,-4.566939771E-1,8.517372131E0,9.178172112E0
5.319762550E-1,-7.918822169E-1,8.239645004E0,9.144653320E0
5.339781300E-1,-1.012148738E0,8.057685852E0,9.182960510E0
5.359800050E-1,-1.127070427E0,7.851784706E0,9.173383713E0
5.379818800E-1,-1.160589218E0,7.674613476E0,9.111134529E0
5.399837550E-1,-1.064821243E0,7.588422298E0,9.139864922E0
